DATA	Preço
8647	7,50
8648	7,80
8649	83,44
8650	0,00
8651	0,65
8652	0,30
8653	6,21
8654	13,50
8655	0,95
8656	21,90
8657	17,90
8658	125,00
8659	151,15
8660	0,00
8661	7,90
8662	4,80
8663	0,00
8664	8,99
8665	14,75
8666	52,00
8667	52,00
8668	6,49
8669	1,00
8670	0,00
8671	0,00
8672	0,00
8674	136,50
8675	0,00
8676	370,00
8677	253,80
8678	0,00
8679	0,00
8680	0,00
8681	48,00
8682	0,00
8683	0,00
8684	89,00
8685	45,00
8686	807,05
8687	0,00
8688	0,00
8689	0,00
8690	7,50
8691	4,25
8692	2,80
8693	21,50
8694	0,00
8695	0,00
8696	0,00
8697	150,00
8698	7,20
8699	71,20
8700	48,00
8701	0,00
8702	54,90
8703	48,50
8704	59,00
8705	4,20
8706	13,49
8707	4,50
8708	4,19
8709	0,00
8710	24,99
8711	5,99
8712	1,99
8713	44000,00
8714	0,00
8715	0,00
